FECHA ;PM 2.5 ;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2017;7,3;10,2;1,4;4,3;5,6;0,11;0,9;12,3
2/01/2017;6,7;11,9;7,3;7,1;14,3;0,25;1,3;13,6
3/01/2017;14,8;31,8;21,6;14,7;36,3;0,46;2;10,2
4/01/2017;19,8;41,8;31,3;16,6;47,9;0,81;2,4;10,1
5/01/2017;25,6;42,6;28,1;18;46,1;0,74;2,2;6,9
6/01/2017;8,5;15,5;11,7;10,5;22,1;0,37;1,5;7,8
7/01/2017;7;11,9;3,2;7,4;10,6;0,08;1,3;12
8/01/2017;9,7;16,8;1,5;8,6;10;0,28;1,2;11,7
9/01/2017;18,1;26,1;11,5;14,8;26,2;0,4;1,8;0
10/01/2017;22,4;38,3;12,7;20,4;33,2;0,87;2,4;0
11/01/2017;22,4;32,9;19,8;20,3;40,1;0,73;2,1;0
12/01/2017;22,5;43;26,7;18,6;45,3;0,67;1,9;0
13/01/2017;31,6;55,7;21,9;20,9;42,8;0,62;1,3;10,3
14/01/2017;27,8;39,3;7,2;17,4;24,6;0,73;0,6;10
15/01/2017;15,7;23,3;3,4;11,3;14,8;0,24;0,4;0
16/01/2017;19,5;34,6;9,7;14,2;23,9;0,42;0,9;0
17/01/2017;20,7;36,9;11,8;17,4;29,3;0,46;0,7;0
18/01/2017;30,2;42,7;19;22,4;41,4;0,3;1;6,4
19/01/2017;30,5;58,2;23,9;22,7;46,7;0,66;1;8,9
20/01/2017;27,5;52,6;18,8;18,6;37,4;0,43;1,5;10,8
21/01/2017;16,6;38,5;19,4;14;33,4;0,27;0,5;11,4
22/01/2017;16,1;0;34,6;15,9;50,5;0,61;0,9;13,7
23/01/2017;27,5;51,9;31,7;20,5;51,6;0,72;1;11,8
24/01/2017;29,9;53,1;20;19,7;39,7;0,63;0,8;15,2
25/01/2017;14,5;23,9;7,4;12,7;20,1;0,44;0,4;10,7
26/01/2017;10,1;17,1;6,7;9,9;16,6;0,48;0,1;8,9
27/01/2017;13,3;23,7;12;10;22;0,48;0,2;8
28/01/2017;18,6;34,4;31,6;11,9;43,5;0,79;1,1;5,1
29/01/2017;10,9;21,6;16,7;9;25,8;0,6;0,5;7
30/01/2017;31,6;57,4;42,5;21,6;64,1;0,99;1,5;4,1
31/01/2017;18,2;31,3;25,1;12,6;37,7;0,66;0,6;5,9
1/02/2017;22,6;43,9;35,7;15,5;51,2;1,2;1,3;5,7
2/02/2017;22,9;41,8;38,4;17,6;56,1;0,88;1,8;10
3/02/2017;18,9;33,5;31,4;14,2;45,6;0,98;1,6;7,5
4/02/2017;16,3;31;29,4;11,7;41,1;0,82;1,5;14,3
5/02/2017;11,9;20,7;0,9;6,8;7,7;0,34;0,8;27,7
6/02/2017;15,6;29,3;21,7;14;35,7;0,78;1,4;18,5
7/02/2017;12,6;22;9,2;13,7;22,8;0,71;0,9;23,7
8/02/2017;22,5;44,9;23,6;20,5;44;1;1,5;13,3
9/02/2017;35,5;68,3;30,4;25;55,5;1,34;2;19,7
10/02/2017;28,1;49,1;6,9;17,4;24,3;0,59;1,7;17,3
11/02/2017;34;55,9;13,5;17;30,5;0,88;2;18
12/02/2017;21,4;31,1;3,2;12,7;16;0,53;1,3;14,7
13/02/2017;15,3;27,9;5,6;12,8;18,4;0,62;1,1;14,6
14/02/2017;19,1;36,6;17,3;13,7;31;0,58;1,4;13,6
15/02/2017;32,5;59,9;40,6;20;60,5;1,25;2;10,4
16/02/2017;25,1;42,2;16,6;16,4;33;0,72;0,8;9,3
17/02/2017;0;0;0;0;0;0;0;0
18/02/2017;0;0;0;0;0;0;0;0
19/02/2017;0;0;0;0;0;0;0;0
20/02/2017;0;0;0;0;0;0;0;0
21/02/2017;35,9;50,2;21,5;18,5;40;0,69;1,1;14,1
22/02/2017;27,7;46,3;21,7;15,9;37,6;0,54;1,2;15,1
23/02/2017;27,6;48,3;18;18,6;36,5;0,47;1,5;14,8
24/02/2017;27,2;40,7;30,1;22,7;52,8;0,79;1,2;8
25/02/2017;0;32,4;25,8;26,8;52,7;0,61;1,1;6,5
26/02/2017;0;23,9;17,5;18,5;36;0,58;1,1;11,1
27/02/2017;0;35,9;28,5;19,1;47,5;0,81;1,5;7,6
28/02/2017;0;46,3;23;25;48;0,96;1,1;12,6
1/03/2017;6,4;40,8;46,5;26,8;73,3;0,26;1,6;4
2/03/2017;0;0;0;0;0;0;0;0
3/03/2017;0;22,9;17,8;10,6;28,4;0;0,9;15,7
4/03/2017;8,9;27,2;31,4;11,9;43,3;0,7;1,2;8,6
5/03/2017;0;19,3;4,7;9,3;14,1;0,29;0,7;10
6/03/2017;7,5;30,3;24,1;14,5;38,6;0,71;1,1;7,1
7/03/2017;10,8;37,6;26,6;24,5;51,1;0,88;1,6;8,7
8/03/2017;10,8;28,1;38,7;20,1;58,7;0,95;1,6;2,5
9/03/2017;0;0;0;0;0;0;0;0
