FECHA;PM2.5;PM10;NO;NO2;NOX;CO;SO2;OZONO
1/01/2017 1:00;14,2;14,2;1,7;9,3;11;0,19;0,9;4,1
1/01/2017 2:00;32,8;67;11;12,8;23,8;0,51;1,6;0,5
1/01/2017 3:00;35;0;10,6;11,5;22,1;0,49;1,3;3,2
1/01/2017 4:00;9,4;10;0,3;3,7;4;0,1;1;13,2
1/01/2017 5:00;3,3;8;0;1;0,8;0,07;0,8;16,6
1/01/2017 6:00;0;4;0;1,8;1,5;0,03;0,6;15
1/01/2017 7:00;4,3;4,3;0;2;1,9;0,06;1,2;15
1/01/2017 8:00;0;3;0,3;1,1;1,4;0,01;0,5;15,6
1/01/2017 9:00;0;5;0;0,3;0,1;0;0,7;16,8
1/01/2017 10:00;4,1;6;0;0,3;0,2;0;0,2;16,4
1/01/2017 11:00;4,3;8;0;0,3;0,2;0;0,4;17,1
1/01/2017 12:00;1,9;10;0;0,4;0,4;0;0,8;16,8
1/01/2017 13:00;1,3;10;0,1;0,5;0,6;0;1,5;16,7
1/01/2017 14:00;6,6;10;0,2;0,8;1;0,02;1,5;16,4
1/01/2017 15:00;6,5;7;0,3;1;1,2;0,03;0,7;16,3
1/01/2017 16:00;2,2;4;0,3;1,1;1,5;0,03;1,1;16,4
1/01/2017 17:00;11,8;11,8;0,5;1,8;2,3;0,03;1;16
1/01/2017 18:00;3,6;3,6;0,2;2,6;2,8;0,02;0,4;15,7
1/01/2017 19:00;2,9;2,9;0;2,6;2,3;0,03;1,4;15,9
1/01/2017 20:00;5,4;5,4;0,6;9,1;9,7;0,13;1,3;7,3
1/01/2017 21:00;7,1;0;3,4;12;15,4;0,25;1;3,3
1/01/2017 22:00;2,3;10;1,3;10,7;12;0,16;0,9;5,1
1/01/2017 23:00;4,2;13;2,7;13,1;15,9;0,28;1,2;1,1
2/01/2017 0:00;3,7;8;0;3;2,9;0,09;0,5;14,1
2/01/2017 1:00;10,4;0;0;2;1,6;0,11;1,1;16,2
2/01/2017 2:00;7,4;9;0;0,8;0,3;0,07;0,9;18,8
2/01/2017 3:00;0;8;0;0,5;0;0,1;0,8;19,1
2/01/2017 4:00;4,7;5;0;1,4;1;0,08;1;18,5
2/01/2017 5:00;5,7;5,7;0;3,8;3,5;0,1;1,1;13,6
2/01/2017 6:00;1,8;8;5;13,6;18,7;0,25;0,7;2,5
2/01/2017 7:00;9,2;11;12,9;13,5;26,4;0,44;1,5;5,4
2/01/2017 8:00;0;11;5,1;5,2;10,3;0,23;1,2;15,7
2/01/2017 9:00;8,9;11;2,4;2,7;5,2;0,1;1,1;18,3
2/01/2017 10:00;8,7;10;0,9;1,4;2,3;0,06;1,1;20,5
2/01/2017 11:00;2,1;11;0,6;1,1;1,7;0,08;1,5;20,6
2/01/2017 12:00;9,1;9,1;0,8;1,2;2;0,09;1,4;19,6
2/01/2017 13:00;4,6;16;1;1,4;2,5;0,06;1,5;19,1
2/01/2017 14:00;8,2;8,2;1,1;1,5;2,7;0,08;1,3;19,6
2/01/2017 15:00;4,1;8;1,2;2,1;3,3;0,11;1,1;20,2
2/01/2017 16:00;6,2;9;2,1;3,1;5,2;0,14;1,3;20
2/01/2017 17:00;0;9;2,3;3,9;6,2;0,19;1,1;20,2
2/01/2017 18:00;9,8;9,8;2,2;6,7;8,9;0,22;1,2;17,7
2/01/2017 19:00;2,1;8;3,4;14;17,4;0,32;1,6;10,1
2/01/2017 20:00;7,5;10;5,3;16,6;21,9;0,35;1,7;5,9
2/01/2017 21:00;11,2;12;7,2;17,9;25;0,33;0,6;3,6
2/01/2017 22:00;5;11;9,4;18,3;27,7;0,43;1,3;1
2/01/2017 23:00;7,5;27;35;18,8;53,8;0,78;2,2;0,4
3/01/2017 0:00;12,6;47;77,6;18,9;96,5;1,29;2,9;0,3
3/01/2017 1:00;17,1;41;71,9;18;89,9;1,12;2,3;0,2
3/01/2017 2:00;18,6;41;64,1;16,4;80,5;0,98;2,7;0,2
3/01/2017 3:00;19,8;44;62,7;15,4;78,2;0,89;2,7;0,3
3/01/2017 4:00;11,7;22;19,2;15,3;34,6;0,46;1,6;0,4
3/01/2017 5:00;15;21;21,2;14,1;35,4;0,43;1,8;0,2
3/01/2017 6:00;10,2;30;38,1;13,6;51,6;0,58;1,8;0,3
3/01/2017 7:00;13,4;31;47;14;61;0,73;2,1;0,8
3/01/2017 8:00;2,6;42;60,8;21,6;82,3;1,09;3;3,2
3/01/2017 9:00;15,2;43;50;26,1;76,1;0,94;2,5;7,8
3/01/2017 10:00;19,1;31;13;12,3;25,3;0,25;1,3;17,7
3/01/2017 11:00;13,2;24;6,4;8,2;14,6;0,1;1,4;24,1
3/01/2017 12:00;13,3;21;4,1;7,7;11,7;0,1;1,3;29,4
3/01/2017 13:00;11,6;11,6;1,8;3,8;5,6;0;1,4;24,6
3/01/2017 14:00;11,2;11,2;1,3;2,5;3,8;0;1,4;22,4
3/01/2017 15:00;9,8;44;1,8;8,7;10,6;0,14;1,6;29,3
3/01/2017 16:00;23,5;55;2;10,2;12,2;0,21;1,6;28,7
3/01/2017 17:00;14,7;34;1,2;7,4;8,5;0,11;1,3;27,3
3/01/2017 18:00;21,1;27;1,3;13,5;14,8;0,23;1,6;17,5
3/01/2017 19:00;20,3;34;3,6;21,7;25,3;0,47;1,7;6,7
3/01/2017 20:00;14;34;1,9;21,6;23,5;0,43;1,4;1,9
3/01/2017 21:00;21,1;30;18,2;20,1;38,3;0,54;1,7;0,4
3/01/2017 22:00;7;40;13,7;23,7;37,4;0,57;2,3;0
3/01/2017 23:00;19,1;30;10;19,7;29,8;0,43;2,6;0,3
4/01/2017 0:00;12,1;22;3,3;16,4;19,7;0,3;5,2;1,3
4/01/2017 1:00;8,8;16;0,5;8;8,5;0,19;1,9;9,2
4/01/2017 2:00;2,8;12;0,3;9;9,2;0,18;1,6;6,3
4/01/2017 3:00;6,7;22;0,7;11;11,7;0,25;1,6;5,2
4/01/2017 4:00;11,6;17;0,8;11,7;12,5;0,26;1,6;2,3
4/01/2017 5:00;8,1;11;4,7;12,3;17;0,29;1,2;0,6
4/01/2017 6:00;6;17;18;11,9;29,8;0,41;1,6;0,2
4/01/2017 7:00;15,6;33;57,4;12,7;70,1;0,95;2,2;0,5
4/01/2017 8:00;7,4;52;74,4;19,9;94,4;1,36;3;1,7
4/01/2017 9:00;14,2;63;45,5;26,6;72,2;1,12;3,6;7,3
4/01/2017 10:00;33,6;61;16,5;19,2;35,8;0,53;3,2;16,7
4/01/2017 11:00;29,8;55;13,4;23,1;36,5;0,61;2,6;26,6
4/01/2017 12:00;36,5;60;8,5;25,7;34,2;0,65;2,8;40,8
4/01/2017 13:00;42,8;60;2,8;19,6;22,5;0,45;2,6;39,3
4/01/2017 14:00;31,8;48;2,4;11,9;14,3;0,31;1,5;25,5
4/01/2017 15:00;11,8;41;1,1;8,7;9,8;0,26;1,2;24,8
4/01/2017 16:00;8,7;30;4,4;11,2;15,6;0,38;1,8;19,1
4/01/2017 17:00;25;30;7;15,8;22,8;0,48;1,9;10
4/01/2017 18:00;20,3;39;9,1;19,7;28,7;0,62;1,8;5,3
4/01/2017 19:00;15,9;34;15,8;21,8;37,6;0,85;2;0,3
4/01/2017 20:00;21;51;61,1;21,2;82,3;1,58;3;0,2
4/01/2017 21:00;23,8;42;70,2;18,7;88,8;1,59;3,4;0,3
4/01/2017 22:00;21,1;63;102,8;20,2;122,9;1,94;3,9;0,2
4/01/2017 23:00;37,5;74;108,9;20,6;129,5;1,96;3,9;0,2
5/01/2017 0:00;34,1;71;124,5;18,1;142,6;2,1;3,9;0,3
5/01/2017 1:00;27,7;61;110,2;15,3;125,5;1,87;3,4;0,3
5/01/2017 2:00;32,3;43;92,8;13,6;106,4;1,56;3,4;0,3
5/01/2017 3:00;24,1;42;43,6;13,6;57,3;0,86;2,6;0,1
5/01/2017 4:00;21,3;23;28,1;11,9;40;0,61;2,2;0,2
5/01/2017 5:00;12,3;28;28,5;11,1;39,6;0,57;2;0,1
5/01/2017 6:00;17,9;35;52;11,1;63,2;0,78;2,4;0,7
5/01/2017 7:00;21;51;53,8;14,8;68,6;1,02;2,4;0,2
5/01/2017 8:00;29,7;41;55;16,6;71,6;1,16;2,4;0,6
5/01/2017 9:00;27,2;44;37,9;18,6;56,5;0,93;2,6;2,8
5/01/2017 10:00;26,2;65;26,8;22,6;49,3;0,8;2,3;8,6
5/01/2017 11:00;32,6;64;16,3;21,9;38,2;0,64;1,6;16
5/01/2017 12:00;22,3;35;10,4;19,3;29,7;0,54;1,9;21,7
5/01/2017 13:00;42,3;69;9,7;20,4;30,1;0,51;2,8;19,8
5/01/2017 14:00;36,7;52;6,7;15,3;22;0,42;2,6;17,2
5/01/2017 15:00;19,3;21;4,9;8,8;13,8;0,26;1,3;14,5
5/01/2017 16:00;0;38;5,6;12,6;18,1;0,3;2,2;18,9
5/01/2017 17:00;39;41;2,8;17,1;19,9;0,34;1,5;18,7
