FECHA;PM 2.5;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2017;4;10;17;6,2;23,2;0;0;9,3
2/01/2017;5;14,3;39,7;12,1;51,8;0;0;9,8
3/01/2017;12,4;28,9;62,1;14,4;76,5;0;0;11,4
4/01/2017;14,3;31,3;63,7;12,3;76;0;0;10,4
5/01/2017;16,3;26,9;61,4;12,2;73,6;0;0;7
6/01/2017;8,2;14,4;28,9;10,2;39;0;0;8,3
7/01/2017;9,8;17,8;46;9;54,9;0;0;9,9
8/01/2017;8,2;13,7;16;7,7;23,7;0;0;10,4
9/01/2017;12,5;19,7;39,2;10,8;50,1;0;0;8
10/01/2017;15,5;25,4;0;0;0;0;0;12,3
11/01/2017;15,6;25,2;0;0;0;0;0;15,3
12/01/2017;0;27,5;19,6;17,1;36,7;0;0;17
13/01/2017;18,3;32,8;0;0;0;0;0;19
14/01/2017;14,6;23,3;0;0;0;0;0;17,9
15/01/2017;11,5;19,5;0;0;0;0;0;17,7
16/01/2017;12,7;24;0;0;0;0;0;14,9
17/01/2017;17,5;35,5;0;0;0;0;0;18,6
18/01/2017;21;31,6;27,4;11,9;39,3;0;0;11,6
19/01/2017;24,7;40,3;35,8;10,6;46,4;0;0;12,1
20/01/2017;19,6;36,8;0;0;0;0;0;14,4
21/01/2017;17,8;38,5;0;0;0;0;0;16,1
22/01/2017;15,7;35,6;48,7;15,8;64,5;0;0;16,2
23/01/2017;22,3;45,3;48,9;16,6;65,4;0;0;18,6
24/01/2017;24,8;46;0;0;0;0;0;16,2
25/01/2017;19;34,3;0;0;0;0;0;6,7
26/01/2017;9,1;15,5;0;0;0;0;0;5,9
27/01/2017;12,3;24,6;0;0;0;0;0;7,3
28/01/2017;12;24,7;0;0;0;0;0;5,6
29/01/2017;9,5;19,5;0;0;0;0;0;7,3
30/01/2017;18,5;37,4;0;0;0;0;0;6
31/01/2017;15,3;33,8;0;0;0;0;0;4,8
1/02/2017;17,3;39,4;0;0;0;0;0;6,3
2/02/2017;0;0;0;0;0;0;0;0
3/02/2017;0;0;0;0;0;0;0;0
4/02/2017;0;0;0;0;0;0;0;0
5/02/2017;0;0;0;0;0;0;0;0
6/02/2017;0;0;0;0;0;0;0;0
7/02/2017;0;0;0;0;0;0;0;0
8/02/2017;0;0;0;0;0;0;0;0
9/02/2017;0;0;0;0;0;0;0;0
10/02/2017;0;0;0;0;0;0;0;0
11/02/2017;0;0;0;0;0;0;0;0
12/02/2017;0;0;0;0;0;0;0;0
13/02/2017;0;0;0;0;0;0;0;0
14/02/2017;0;0;0;0;0;0;0;0
15/02/2017;0;0;0;0;0;0;0;0
16/02/2017;0;0;0;0;0;0;0;0
17/02/2017;0;0;0;0;0;0;0;0
18/02/2017;0;0;0;0;0;0;0;0
19/02/2017;0;0;0;0;0;0;0;0
20/02/2017;0;0;0;0;0;0;0;0
21/02/2017;0;0;0;0;0;0;0;0
22/02/2017;0;0;0;0;0;0;0;0
23/02/2017;0;0;0;0;0;0;0;0
24/02/2017;0;0;0;0;0;0;0;0
25/02/2017;0;0;0;0;0;0;0;0
26/02/2017;0;0;0;0;0;0;0;0
27/02/2017;0;0;0;0;0;0;0;0
28/02/2017;0;0;0;0;0;0;0;0
1/03/2017;0;0;0;0;0;0;0;0
2/03/2017;0;0;0;0;0;0;0;0
3/03/2017;0;0;0;0;0;0;0;0
4/03/2017;0;0;0;0;0;0;0;0
5/03/2017;0;0;0;0;0;0;0;0
6/03/2017;0;0;0;0;0;0;0;0
7/03/2017;0;0;0;0;0;0;0;0
8/03/2017;0;0;0;0;0;0;0;0
9/03/2017;0;0;0;0;0;0;0;0
10/03/2017;0;0;0;0;0;0;0;0
11/03/2017;0;0;0;0;0;0;0;0
12/03/2017;0;0;0;0;0;0;0;0
13/03/2017;0;0;0;0;0;0;0;0
14/03/2017;0;0;0;0;0;0;0;0
15/03/2017;0;0;0;0;0;0;0;0
16/03/2017;0;0;0;0;0;0;0;0
17/03/2017;0;0;0;0;0;0;0;0
18/03/2017;0;0;0;0;0;0;0;0
19/03/2017;0;0;0;0;0;0;0;0
20/03/2017;0;0;0;0;0;0;0;0
21/03/2017;0;0;0;0;0;0;0;0
22/03/2017;0;0;0;0;0;0;0;0
23/03/2017;0;0;0;0;0;0;0;0
24/03/2017;0;0;0;0;0;0;0;0
25/03/2017;0;0;0;0;0;0;0;0
26/03/2017;0;0;0;0;0;0;0;0
27/03/2017;0;0;0;0;0;0;0;0
28/03/2017;0;0;0;0;0;0;0;0
