FECHA;PM 2.5;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2017 1:00;3;6;23,4;6,8;30,2;0;0;2,4
1/01/2017 2:00;0;7;25,8;6,7;32,5;0;0;2,8
1/01/2017 3:00;2;16;39,7;8;47,7;0;0;2,6
1/01/2017 4:00;10;17;25;8;33;0;0;3
1/01/2017 5:00;13;13;21,8;8,8;30,6;0;0;2,6
1/01/2017 6:00;19;19;29,7;8,1;37,8;0;0;2,5
1/01/2017 7:00;6;14;38,8;7,5;46,3;0;0;2,8
1/01/2017 8:00;10;17;23,3;7;30,3;0;0;6
1/01/2017 9:00;7;0;7,5;2,4;9,9;0;0;13,8
1/01/2017 10:00;5;9;6,2;0,2;6,4;0;0;17,1
1/01/2017 11:00;0;5;6,8;0,6;7,4;0;0;16,8
1/01/2017 12:00;0;3;6,6;0,3;6,8;0;0;17,6
1/01/2017 13:00;0;5;7,6;1,3;9;0;0;16,4
1/01/2017 14:00;0;0;7,4;0,7;8,1;0;0;16,7
1/01/2017 15:00;0;0;8,1;1,7;9,8;0;0;15,7
1/01/2017 16:00;0;7;8,2;1,8;10;0;0;15,9
1/01/2017 17:00;0;10;8,5;1,8;10,3;0;0;16
1/01/2017 18:00;0;11;10,7;4,6;15,3;0;0;14,2
1/01/2017 19:00;0;11;11,3;7,6;18,9;0;0;12
1/01/2017 20:00;0;5;6,8;6,3;13,1;0;0;11,5
1/01/2017 21:00;1;5;16,6;13,8;30,5;0;0;6,4
1/01/2017 22:00;5;10;33,7;16,9;50,5;0;0;2,9
1/01/2017 23:00;11;12;25,5;13,4;38,9;0;0;2,6
2/01/2017 0:00;4;9;10,1;13,7;23,9;0;0;3,1
2/01/2017 1:00;1;17;32,8;12,4;45,2;0;0;2,5
2/01/2017 2:00;2;7;21,7;9,5;31,2;0;0;3,9
2/01/2017 3:00;3;3;12,7;7,9;20,6;0;0;6,2
2/01/2017 4:00;5;5;32,5;10,4;42,9;0;0;3,9
2/01/2017 5:00;6;35;119,7;12,9;132,6;0;0;2,3
2/01/2017 6:00;11;25;132;12,1;144,1;0;0;2,5
2/01/2017 7:00;8;26;77,9;15,2;93,1;0;0;2,8
2/01/2017 8:00;4;5;22,9;7,4;30,3;0;0;11
2/01/2017 9:00;2;7;10,7;4,5;15,2;0;0;15,4
2/01/2017 10:00;0;9;8,7;3,1;11,8;0;0;19,8
2/01/2017 11:00;1;2;10,6;3,9;14,4;0;0;19,6
2/01/2017 12:00;4;0;12,1;5,4;17,5;0;0;18,3
2/01/2017 13:00;3;4;9,5;3,3;12,8;0;0;19,2
2/01/2017 14:00;1;3;9,7;3,3;13;0;0;18,6
2/01/2017 15:00;0;6;12,2;5,8;17,9;0;0;17,7
2/01/2017 16:00;0;8;12,9;6,4;19,3;0;0;17,7
2/01/2017 17:00;0;7;13,1;6,6;19,7;0;0;18,2
2/01/2017 18:00;0;10;16,5;12,8;29,3;0;0;13,6
2/01/2017 19:00;9;18;44,9;25,1;70;0;0;5,4
2/01/2017 20:00;7;17;32,2;24,2;56,4;0;0;4,4
2/01/2017 21:00;14;27;93,9;27,5;121,3;0;0;2,8
2/01/2017 22:00;9;20;40,9;24,1;65,1;0;0;3,5
2/01/2017 23:00;11;29;73,5;23,3;96,9;0;0;3,1
3/01/2017 0:00;19;39;98,9;23;121,9;0;0;2,6
3/01/2017 1:00;11;41;82,2;21,2;103,4;0;0;2,6
3/01/2017 2:00;9;37;133,6;18,5;152,1;0;0;2,6
3/01/2017 3:00;12;36;89,5;19,3;108,8;0;0;2,6
3/01/2017 4:00;15;32;102,3;17;119,3;0;0;2,5
3/01/2017 5:00;20;41;151,8;19,4;171,3;0;0;2,6
3/01/2017 6:00;28;48;228,9;20,7;249,6;0;0;2,6
3/01/2017 7:00;40;75;239;22,7;261,7;0;0;3
3/01/2017 8:00;23;36;70,6;20,9;91,6;0;0;4,7
3/01/2017 9:00;18;27;34,7;18,2;52,8;0;0;10,4
3/01/2017 10:00;3;11;10,4;8,1;18,5;0;0;21,9
3/01/2017 11:00;6;18;8,5;5,8;14,4;0;0;24,4
3/01/2017 12:00;3;12;8,4;4,5;12,9;0;0;22,5
3/01/2017 13:00;0;6;8,6;4,5;13,1;0;0;22
3/01/2017 14:00;0;4;8,3;4,2;12,5;0;0;22,7
3/01/2017 15:00;5;10;9,6;6,8;16,4;0;0;23,4
3/01/2017 16:00;13;37;6,4;6,5;12,9;0;0;37,3
3/01/2017 17:00;13;33;6,6;5,9;12,4;0;0;28,5
3/01/2017 18:00;15;15;23,7;21;44,7;0;0;8,2
3/01/2017 19:00;12;17;41,2;20,7;62;0;0;3,3
3/01/2017 20:00;8;20;42,7;19,8;62,5;0;0;3,3
3/01/2017 21:00;11;23;35,3;19,6;54,9;0;0;3,6
3/01/2017 22:00;11;36;31,5;17,9;49,3;0;0;3,3
3/01/2017 23:00;18;72;109,1;18,5;127,7;0;0;2,8
4/01/2017 0:00;3;7;7,6;4,7;12,3;0;0;11,6
4/01/2017 1:00;3;15;8,6;6,9;15,5;0;0;10
4/01/2017 2:00;6;14;17,3;14,9;32,2;0;0;3,6
4/01/2017 3:00;4;12;10,8;8,3;19,2;0;0;8,1
4/01/2017 4:00;4;10;11,9;12,2;24,1;0;0;2,9
4/01/2017 5:00;12;19;24,3;14,2;38,4;0;0;2,5
4/01/2017 6:00;19;32;97,1;14,6;111,7;0;0;2,5
4/01/2017 7:00;35;69;195,4;13,7;209;0;0;2,7
4/01/2017 8:00;20;47;132,8;18,4;151,2;0;0;4
4/01/2017 9:00;15;26;40,8;15;55,7;0;0;9,4
4/01/2017 10:00;10;0;11,7;6,1;17,8;0;0;18,1
4/01/2017 11:00;7;8;10,3;7;17,3;0;0;24,8
4/01/2017 12:00;13;22;9,8;9,2;19;0;0;31,9
4/01/2017 13:00;11;30;7,9;9,4;17,3;0;0;44,5
4/01/2017 14:00;14;42;6,8;6,3;13,1;0;0;36,5
4/01/2017 15:00;13;22;21,6;14,3;35,8;0;0;7,8
4/01/2017 16:00;9;18;21,1;12,6;33,7;0;0;8,6
4/01/2017 17:00;9;23;20,5;12,3;32,8;0;0;10,1
4/01/2017 18:00;9;21;15,9;13,2;29,2;0;0;7,3
4/01/2017 19:00;13;32;53,3;21,7;75;0;0;2,8
4/01/2017 20:00;11;29;58;17,5;75,4;0;0;2,5
4/01/2017 21:00;19;29;72,4;13,3;85,8;0;0;2,5
4/01/2017 22:00;32;80;252,4;12,9;265,3;0;0;2,6
4/01/2017 23:00;24;59;197,8;11;208,8;0;0;2,4
5/01/2017 0:00;30;62;229,7;10,6;240,3;0;0;2,4
5/01/2017 1:00;29;57;278,6;11,8;290,4;0;0;0
5/01/2017 2:00;23;35;170,4;9,2;179,7;0;0;2,5
5/01/2017 3:00;11;24;59,6;13;72,5;0;0;2,4
5/01/2017 4:00;17;26;56,7;10,2;66,9;0;0;2,6
5/01/2017 5:00;28;45;167,5;10,4;177,9;0;0;2,5
5/01/2017 6:00;27;49;148,9;12,8;161,7;0;0;2,7
5/01/2017 7:00;19;22;54,6;13;67,6;0;0;2,7
5/01/2017 8:00;23;35;73,3;12,9;86,2;0;0;3
5/01/2017 9:00;12;22;20,2;9;29,2;0;0;7,2
5/01/2017 10:00;6;15;13,5;5,5;19;0;0;12
5/01/2017 11:00;12;18;11,8;4,3;16,1;0;0;13,7
5/01/2017 12:00;8;13;8,6;2,5;11,1;0;0;17,9
5/01/2017 13:00;7;13;0;0;0;0;0;0
5/01/2017 14:00;9;27;0;0;0;0;0;11,9
5/01/2017 15:00;7;15;29,3;14,4;43,7;0;0;9,8
5/01/2017 16:00;7;19;7,4;6,1;13,5;0;0;15,9
5/01/2017 17:00;17;22;13,2;19,2;32,4;0;0;8,3
5/01/2017 18:00;10;10;10,1;16,4;26,5;0;0;8,2
5/01/2017 19:00;30;30;6,9;12,6;19,5;0;0;9,5
5/01/2017 20:00;28;28;30,8;22,6;53,4;0;0;3,9
5/01/2017 21:00;7;19;20,3;14,1;34,4;0;0;7,1
5/01/2017 22:00;12;40;57,3;17,9;75,2;0;0;2,7
