FECHA;PM 2.5;PM 10;NO ;NO2;NOX;CO;SO2;O3
1/01/2017;9,8;0;0;0;0;0,42;0;0
2/01/2017;8,5;18,1;0;0;0;0,68;0;0
3/01/2017;17,3;43,4;0;0;0;1,26;0;0
4/01/2017;26,3;62,4;0;0;0;1,7;0;0
5/01/2017;26,7;54,1;0;0;0;1,41;0;0
6/01/2017;13;23,2;0;0;0;0,87;0;0
7/01/2017;11,5;25,1;0;0;0;0,75;0;0
8/01/2017;11,8;18,4;0;0;0;0,57;0;0
9/01/2017;18,5;32,2;0;0;0;0,97;0;0
10/01/2017;30,3;53,2;0;0;0;1,58;0;0
11/01/2017;29;51,8;0;0;0;1,68;0;0
12/01/2017;25;52,2;0;0;0;1,57;0;0
13/01/2017;34,1;71,6;0;0;0;1,85;0;0
14/01/2017;32,3;58,5;0;0;0;1,55;0;0
15/01/2017;0;31,6;0;0;0;0,88;0;0
16/01/2017;0;57,9;0;0;0;0;0;0
17/01/2017;0;66;0;0;0;0;0;0
18/01/2017;38,3;72,6;0;0;0;2,08;0;0
19/01/2017;43,8;84,6;0;0;0;0;0;0
20/01/2017;39,2;86,1;0;0;0;0;0;0
21/01/2017;29,8;56,3;0;0;0;0;0;0
22/01/2017;0;39,8;0;0;0;0;0;0
23/01/2017;0;73,6;0;0;0;0;0;0
24/01/2017;37;83,4;0;0;0;3,06;0;0
25/01/2017;26,2;50,2;0;0;0;2,8;0;0
26/01/2017;16,3;38,9;0;0;0;2,65;0;0
27/01/2017;19,1;48,8;0;0;0;2,57;0;0
28/01/2017;22;51,3;0;0;0;2,69;0;0
29/01/2017;12,6;28,8;0;0;0;2,03;0;0
30/01/2017;31,9;81,7;0;0;0;0;0;0
31/01/2017;21;50,8;0;0;0;0;0;0
1/02/2017;26,3;63,5;0;0;0;0;0;0
2/02/2017;25,5;62;0;0;0;0;0;0
3/02/2017;22,1;54,7;0;0;0;0;0;0
4/02/2017;20,5;53,8;0;0;0;0;0;0
5/02/2017;13,2;31,5;0;0;0;0;0;0
6/02/2017;16;45,5;0;0;0;0;0;0
7/02/2017;18,2;41;0;0;0;0;0;0
8/02/2017;23;62,3;0;0;0;0;0;0
9/02/2017;35,3;87,1;0;0;0;0;0;0
10/02/2017;35,2;76,8;0;0;0;0;0;0
11/02/2017;34;76,5;0;0;0;0;0;0
12/02/2017;24,8;47,3;0;0;0;0;0;0
13/02/2017;20,5;50,7;0;0;0;0;0;0
14/02/2017;27,6;60,6;0;0;0;0;0;0
15/02/2017;32,8;78;0;0;0;0;0;0
16/02/2017;31;68,4;0;0;0;0;0;0
17/02/2017;27;58,8;0;0;0;0;0;0
18/02/2017;34,3;71,7;0;0;0;0;0;0
19/02/2017;37,4;72,8;0;0;0;0;0;0
20/02/2017;44,4;83,3;0;0;0;0;0;0
21/02/2017;38,4;77,8;0;0;0;0;0;0
22/02/2017;33,9;74;0;0;0;0;0;0
23/02/2017;34,7;77;0;0;0;0;0;0
24/02/2017;34,5;66,3;0;0;0;0;0;0
25/02/2017;33,4;61,4;0;0;0;1,5;0;0
26/02/2017;26,7;43,4;0;0;0;0,74;0;0
27/02/2017;28,7;57;0;0;0;1,13;0;0
28/02/2017;39,5;72,6;0;0;0;1,46;0;0
1/03/2017;40,8;76,3;0;0;0;1,74;0;0
