FECHA;PM 2.5;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2017 1:00;6;10;0;0;0;0,4;0;0
1/01/2017 2:00;33;48;0;0;0;0,86;0;0
1/01/2017 3:00;33;46;0;0;0;0,98;0;0
1/01/2017 4:00;6;8;0;0;0;0,27;0;0
1/01/2017 5:00;0;6;0;0;0;0,22;0;0
1/01/2017 6:00;7;0;0;0;0;0,25;0;0
1/01/2017 7:00;4;0;0;0;0;0,26;0;0
1/01/2017 8:00;16;0;0;0;0;0,3;0;0
1/01/2017 9:00;8;10;0;0;0;0,24;0;0
1/01/2017 10:00;9;0;0;0;0;0,22;0;0
1/01/2017 11:00;4;8;0;0;0;0,25;0;0
1/01/2017 12:00;1;8;0;0;0;0,28;0;0
1/01/2017 13:00;5;9;0;0;0;0,28;0;0
1/01/2017 14:00;3;8;0;0;0;0,35;0;0
1/01/2017 15:00;4;7;0;0;0;0,34;0;0
1/01/2017 16:00;7;9;0;0;0;0,43;0;0
1/01/2017 17:00;8;9;0;0;0;0,46;0;0
1/01/2017 18:00;9;0;0;0;0;0,54;0;0
1/01/2017 19:00;9;10;0;0;0;0,75;0;0
1/01/2017 20:00;10;16;0;0;0;0,57;0;0
1/01/2017 21:00;11;13;0;0;0;0,57;0;0
1/01/2017 22:00;11;11;0;0;0;0,33;0;0
1/01/2017 23:00;12;0;0;0;0;0,36;0;0
42737;10;0;0;0;0;0,25;0;0
2/01/2017 1:00;5;0;0;0;0;0,2;0;0
2/01/2017 2:00;6;0;0;0;0;0,21;0;0
2/01/2017 3:00;7;0;0;0;0;0,18;0;0
2/01/2017 4:00;3;0;0;0;0;0,16;0;0
2/01/2017 5:00;1;4;0;0;0;0,24;0;0
2/01/2017 6:00;3;16;0;0;0;0,71;0;0
2/01/2017 7:00;26;26;0;0;0;0,96;0;0
2/01/2017 8:00;15;0;0;0;0;0,77;0;0
2/01/2017 9:00;19;40;0;0;0;0,91;0;0
2/01/2017 10:00;4;8;0;0;0;0,45;0;0
2/01/2017 11:00;3;9;0;0;0;0,57;0;0
2/01/2017 12:00;5;12;0;0;0;0,54;0;0
2/01/2017 13:00;5;14;0;0;0;0,5;0;0
2/01/2017 14:00;9;16;0;0;0;0,52;0;0
2/01/2017 15:00;13;15;0;0;0;0,68;0;0
2/01/2017 16:00;12;12;0;0;0;0,86;0;0
2/01/2017 17:00;12;18;0;0;0;1,02;0;0
2/01/2017 18:00;7;26;0;0;0;1,2;0;0
2/01/2017 19:00;5;22;0;0;0;1,36;0;0
2/01/2017 20:00;4;15;0;0;0;0,93;0;0
2/01/2017 21:00;4;18;0;0;0;0,8;0;0
2/01/2017 22:00;8;16;0;0;0;0,76;0;0
2/01/2017 23:00;12;27;0;0;0;0,92;0;0
42738;15;29;0;0;0;0,88;0;0
3/01/2017 1:00;14;26;0;0;0;0,86;0;0
3/01/2017 2:00;17;26;0;0;0;0,73;0;0
3/01/2017 3:00;4;0;0;0;0;0,42;0;0
3/01/2017 4:00;9;21;0;0;0;0,41;0;0
3/01/2017 5:00;11;24;0;0;0;0,54;0;0
3/01/2017 6:00;7;41;0;0;0;0,86;0;0
3/01/2017 7:00;23;71;0;0;0;2,32;0;0
3/01/2017 8:00;30;57;0;0;0;2,59;0;0
3/01/2017 9:00;29;66;0;0;0;2,28;0;0
3/01/2017 10:00;14;36;0;0;0;0,97;0;0
3/01/2017 11:00;13;35;0;0;0;0,94;0;0
