FECHA ;PM 2.5;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2017 1:00;32;63;5,6;8,6;14,2;0,18;0;4,8
1/01/2017 2:00;56;56;4,1;8,7;12,8;0,23;0;3,8
1/01/2017 3:00;30;0;1,6;5,8;7,4;0,12;0;6,3
1/01/2017 4:00;8;25;1,2;5,4;6,5;0,05;0;6,5
1/01/2017 5:00;4;10;0,6;3,6;4,1;0;0;8
1/01/2017 6:00;5;15;1,7;4,5;6,2;0,01;0;8
1/01/2017 7:00;3;10;4,7;5,5;10,1;0,04;0;5,7
1/01/2017 8:00;0;9;5,4;5,4;10,8;0,05;0;6,3
1/01/2017 9:00;9;11;4;3,1;7,1;0,04;0;6,7
1/01/2017 10:00;11;21;6,7;4,4;11,1;0,11;0;5,4
1/01/2017 11:00;6;17;5,7;3,5;9,1;0,07;0;4,7
1/01/2017 12:00;2;10;4,8;3,6;8,4;0,08;0;6,8
1/01/2017 13:00;10;10;4,3;3,4;7,7;0,09;0;6,3
1/01/2017 14:00;1;6;2,1;2;4,1;0,05;0;6,8
1/01/2017 15:00;24;24;4,3;3,4;7,7;0,11;0;5,7
1/01/2017 16:00;10;20;2,4;2,9;5,4;0,1;0;6,6
1/01/2017 17:00;26;27;9,8;5,7;15,5;0,31;0;3,6
1/01/2017 18:00;9;18;2,3;4,3;6,7;0,11;0;4,7
1/01/2017 19:00;17;17;3,2;6,7;10;0,15;0;5
1/01/2017 20:00;8;22;7,2;8,6;15,9;0,2;0;2,7
1/01/2017 21:00;11;18;6,4;10,4;16,8;0,22;0;3
1/01/2017 22:00;7;25;10,2;11,3;21,5;0,22;0;3
1/01/2017 23:00;7;32;33,7;12,5;46,2;0,47;0;1,8
2/01/2017 0:00;10;25;19,3;15;34,3;0,48;0;0,7
2/01/2017 1:00;11;11;11,3;13;24,3;0,35;0;1
2/01/2017 2:00;23;108;38;18,1;56,2;0,97;0;1
2/01/2017 3:00;68;132;44,4;18,2;62,5;1,06;0;1,2
2/01/2017 4:00;37;69;29;17,1;46,1;0,71;0;1,1
2/01/2017 5:00;38;69;53,6;20,8;74,3;0,91;0;0,6
2/01/2017 6:00;43;88;101,7;23;124,7;1,42;0;0,8
2/01/2017 7:00;68;137;176,9;28,5;205,4;2,61;0;0,9
2/01/2017 8:00;49;109;103,5;23,2;126,7;2,01;0;1
2/01/2017 9:00;10;48;17,7;12;29,7;0,54;0;1,9
2/01/2017 10:00;14;25;10,3;7,5;17,8;0,41;0;4
2/01/2017 11:00;2;43;14;7;21,1;0,43;0;5,6
2/01/2017 12:00;2;42;4,2;3,7;7,9;0,3;0;7,5
2/01/2017 13:00;12;49;7,8;5,2;13;0,34;0;8,7
2/01/2017 14:00;7;18;10,3;5,9;16,2;0,34;0;9,9
2/01/2017 15:00;42;90;20,4;16,1;36,5;0,67;0;9
2/01/2017 16:00;44;146;22,6;16,3;38,8;0,74;0;6,7
2/01/2017 17:00;49;116;19;16;34,9;0,73;0;6,5
2/01/2017 18:00;35;45;4,7;9,7;14,4;0,42;0;6,1
2/01/2017 19:00;10;28;4;11,2;15,2;0,47;0;5,5
2/01/2017 20:00;10;31;5,5;13,3;18,8;0,7;0;4,7
2/01/2017 21:00;15;32;22,2;17,8;40;0,76;0;1,6
2/01/2017 22:00;13;32;18,4;16,5;34,9;0,68;0;0,7
2/01/2017 23:00;16;47;41,5;15,4;56,9;0,79;0;0,8
3/01/2017 0:00;4;32;12,5;13,7;26,2;0,13;0;2,1
3/01/2017 1:00;24;37;26,9;15,6;42,5;0,27;0;5,7
3/01/2017 2:00;14;21;4,6;12,6;17,2;0,01;0;3,8
3/01/2017 3:00;5;10;1,5;6,7;8,2;0;0;4,9
3/01/2017 4:00;1;28;3,4;11,2;14,6;0;0;3,7
3/01/2017 5:00;8;28;35,1;13;48,1;0,11;0;1,1
3/01/2017 6:00;24;60;66,6;12,6;79,3;0,39;0;0,9
3/01/2017 7:00;38;89;149,7;11,9;161,6;1,6;0;0,4
3/01/2017 8:00;16;73;100,6;22,4;123,1;1,4;0;1,9
3/01/2017 9:00;15;26;13,8;7,4;21,1;0,12;0;6,9
3/01/2017 10:00;5;26;6,4;6,7;13,1;0,06;0;9,9
3/01/2017 11:00;8;19;3,5;4,4;7,9;0;0;10,3
3/01/2017 12:00;10;30;2,1;3;5,1;0;0;8,9
3/01/2017 13:00;3;17;1,4;2,8;4,2;0;0;10,5
3/01/2017 14:00;5;25;5,7;4;9,7;0,04;0;11
3/01/2017 15:00;12;29;5;3,7;8,7;0,02;0;12
3/01/2017 16:00;13;44;2,6;3,3;6;0;0;14,5
3/01/2017 17:00;20;20;2,1;3,5;5,6;0;0;12,1
3/01/2017 18:00;29;39;11,8;11,7;23,5;0,36;0;9,3
3/01/2017 19:00;26;52;26;18,1;44,1;0,78;0;3,5
3/01/2017 20:00;11;21;4,7;10,8;15,5;0,15;0;4,3
3/01/2017 21:00;9;19;5,7;11,5;17,2;0,16;0;5
3/01/2017 22:00;9;22;5,1;13,1;18,2;0,12;0;12,4
3/01/2017 23:00;7;19;1,7;8,2;9,9;0,01;0;6,2
4/01/2017 0:00;4;16;2,5;8,4;10,9;0;0;5,7
4/01/2017 1:00;3;16;3,1;10,4;13,6;0;0;2,9
4/01/2017 2:00;14;17;2,4;8;10,4;0;0;6,2
4/01/2017 3:00;18;58;9,3;13,5;22,7;0,1;0;1,5
4/01/2017 4:00;13;31;13,6;12,4;26;0,11;0;1,2
4/01/2017 5:00;13;38;27,3;11,7;39;0,14;0;0,7
4/01/2017 6:00;15;30;28,8;12,6;41,4;0,21;0;0,7
4/01/2017 7:00;17;54;61,1;12,1;73,2;0,57;0;0,8
4/01/2017 8:00;20;73;74,2;15,1;89,3;0,94;0;1,3
4/01/2017 9:00;21;99;49,6;24,8;74,4;0,94;0;3,7
4/01/2017 10:00;52;85;26,3;20,4;46,7;0,51;0;14,1
4/01/2017 11:00;38;77;21;20,5;41,5;0,49;0;12,4
4/01/2017 12:00;40;69;14,2;18;32,2;0,34;0;13,8
4/01/2017 13:00;36;71;16;12,3;28,2;0,28;0;9,4
4/01/2017 14:00;16;54;9,1;7,8;16,9;0,14;0;9,4
4/01/2017 15:00;6;26;3,3;4,8;8,1;0,04;0;9,1
4/01/2017 16:00;7;30;3,4;4,2;7,6;0,05;0;9,6
4/01/2017 17:00;14;36;3;5,7;8,6;0,1;0;12,7
4/01/2017 18:00;19;43;6,9;11,2;18,1;0,3;0;6,8
4/01/2017 19:00;27;63;17,4;19;36,4;0,63;0;2,5
4/01/2017 20:00;13;29;11;13,4;24,4;0,33;0;4
4/01/2017 21:00;21;35;17;16;33;0,39;0;1,1
4/01/2017 22:00;17;40;21,9;13,8;35,7;0,36;0;1
4/01/2017 23:00;10;16;12,5;10;22,5;0,16;0;0
5/01/2017 0:00;11;41;21,7;9,6;31,3;0,13;0;0
5/01/2017 1:00;20;20;16;9;25;0,05;0;0,6
5/01/2017 2:00;10;19;7,5;8,8;16,3;0;0;0,5
5/01/2017 3:00;11;38;15,9;10,3;26,1;0,06;0;0,4
5/01/2017 4:00;11;33;13,8;10,5;24,3;0,04;0;1
5/01/2017 5:00;16;26;14,7;11,2;25,9;0,08;0;1,4
5/01/2017 6:00;18;38;25,2;14,6;39,8;0,21;0;1,5
5/01/2017 7:00;17;39;41,6;14,1;55,6;0,53;0;0,6
5/01/2017 8:00;33;91;110,4;16,1;126,5;1,51;0;0,9
5/01/2017 9:00;16;20;5,3;3,8;9,1;0;0;6,4
5/01/2017 10:00;8;24;4,1;3,8;7,8;0;0;6
5/01/2017 11:00;9;27;6,8;6,9;13,7;0,07;0;6,6
5/01/2017 12:00;19;69;19,1;14,7;33,8;0,27;0;7,9
5/01/2017 13:00;52;55;15,1;12;27,1;0,25;0;6,8
5/01/2017 14:00;3;26;6,9;7,2;14,1;0,11;0;8
5/01/2017 15:00;35;69;15,7;14,8;30,4;0,38;0;8,4
5/01/2017 16:00;43;54;15,2;14,5;29,8;0,35;0;9,2
5/01/2017 17:00;34;60;19,8;16,8;36,7;0,44;0;6,6
5/01/2017 18:00;37;67;20,3;21,4;41,7;0,7;0;4,8
5/01/2017 19:00;27;61;18,1;20,2;38,3;0,73;0;3,8
5/01/2017 20:00;33;61;24,1;21,5;45,6;0,76;0;1,8
5/01/2017 21:00;31;44;17,6;22,4;40,1;0,55;0;2,5
5/01/2017 22:00;20;32;8,5;19,6;28;0,31;0;1,2
5/01/2017 23:00;9;10;4,9;10,3;15,3;0,06;0;4,2
