FECHA;PM 2.5;PM 10 ;NO;NO2;NOX;CO;SO2;O3
1/01/2024;0;24,5;2,5;7;9,5;0,28;0,8;16,3
2/01/2024;12,9;31,1;9;11;20;0,39;1,1;19,8
3/01/2024;15,2;34,7;12;12,1;24,1;0,48;1,5;19,1
4/01/2024;15,8;35,3;20,5;12,7;33,2;0,56;1,4;19,3
5/01/2024;18,8;36;8,1;12,6;20,8;0,39;1,5;22,3
6/01/2024;12;22,8;7,2;10,7;17,9;0,34;0,5;15,8
7/01/2024;11,3;0;8,9;8,5;17,4;0,39;0,8;12,2
8/01/2024;12;24;9,9;9,4;19,3;0,36;1,2;13,3
9/01/2024;15;34,5;16,6;14,1;30,7;0,56;1,1;10,9
10/01/2024;0;48,4;16,8;15,1;31,9;0,65;1,3;15,8
11/01/2024;0;31,4;13,3;14,4;27,7;0,55;1,4;16,4
12/01/2024;0;39,9;6;15,1;21,2;0,52;1,5;20,2
13/01/2024;26,4;37,3;4,6;13;17,6;0,42;1,7;24,7
14/01/2024;19,4;28,5;5,2;10,3;15,4;0,4;0,8;19,6
15/01/2024;6,9;12,7;2,2;6,4;8,6;0,22;0,4;21
16/01/2024;5,8;17,1;6,3;8,1;14,4;0,33;0,5;18,2
17/01/2024;8,3;19,7;7,5;11;18,5;0,41;1;12,2
18/01/2024;5,6;13,2;4,7;7,6;12,3;0,28;0,7;15,7
19/01/2024;0;0;0;0;0;0;0;0
20/01/2024;0;0;0;0;0;0;0;0
21/01/2024;0;0;0;0;0;0;0;0
22/01/2024;0;0;0;0;0;0;0;0
23/01/2024;12,4;19,2;2,5;9;11,4;0,28;0,5;24,5
24/01/2024;14,2;26,1;10,5;12,7;23,1;0,47;0,6;18,8
25/01/2024;26,9;51,7;18;19,7;37,8;0,69;2,2;22,7
26/01/2024;37,2;59,5;11,8;17,5;29,3;0,68;1,4;25,7
27/01/2024;26,7;46,9;8,5;16,4;24,9;0,56;1,7;25,6
28/01/2024;31;46,6;3,5;12,8;16,3;0,45;2,5;25
29/01/2024;22,5;42;8,5;13,9;22,4;0,61;0,9;18,1
30/01/2024;27,1;44,8;15,9;16,5;32,4;0,65;1,2;15,8
31/01/2024;28,2;46,7;13,3;17,5;30,8;0,69;1,2;11,6
1/02/2024;21;35,5;17,1;13,7;30,8;0,55;1,3;14,3
2/02/2024;20,2;33,5;7,7;14,9;22,5;0,62;0,8;10,7
3/02/2024;13,5;22,6;2,4;13,8;16,2;0,44;1;20,1
4/02/2024;11,7;18,2;4,3;14,7;19;0,48;1,2;14,4
5/02/2024;17;26,7;17;18,2;35,2;0,78;1,2;8,2
6/02/2024;17,9;31,2;31,3;15,9;47,1;0,95;1,1;6,4
7/02/2024;16,1;24,4;27,1;14,3;41,4;0,86;0,9;9,3
8/02/2024;23,5;46,4;31,3;17,8;49,1;0,89;1,1;7,5
9/02/2024;14,1;30,6;10;8,9;18,9;0,41;0,8;11,5
10/02/2024;7,1;17,5;9,9;8,9;18,9;0,34;1;13
11/02/2024;5,2;14,5;7,5;9,2;16,7;0,35;0,8;13
12/02/2024;20,3;43;13,2;15,9;29;0,61;1,3;25
13/02/2024;23,1;41;11;15,3;26,2;0,57;1,2;21,8
14/02/2024;14,4;27;3,2;8,1;11,2;0,27;0,6;17,1
15/02/2024;11,5;18,9;0,6;5,8;6,3;0,29;1;18,4
16/02/2024;9,9;14,9;4,5;8;12,5;0,38;0,6;12,7
17/02/2024;5;10,7;8,5;8,1;16,6;0,47;0,9;11,1
18/02/2024;13,9;29,3;15,1;10,3;25,5;0,53;1;13,9
19/02/2024;24,7;46,4;17,1;15,5;32,7;0,61;1,5;18,2
20/02/2024;21,6;43,3;15,5;13,2;28,8;0,53;1,3;19,7
21/02/2024;20,1;40,4;14,5;14,8;29,3;0,55;1,2;14,6
22/02/2024;11,9;29,5;6,9;12,1;19;0,41;1,1;13,9
23/02/2024;17,7;39,8;9,7;16,7;26,3;0,55;2,2;22,2
24/02/2024;21,5;40,1;4,7;14;18,7;0,42;1,3;28
25/02/2024;18,7;28,4;1,4;10,5;11,8;0,32;1,1;24,8
26/02/2024;30,4;52;15,6;22;37,6;0,74;1;18,4
27/02/2024;32;59,3;9,3;18,7;28;0,56;1,2;21,8
28/02/2024;28,4;43,9;0;0;0;0,46;2,1;27
29/02/2024;27,4;43,3;0;0;0;0,5;1,1;25,5
1/03/2024;30,4;48;6,1;14,6;20,7;0,49;0,8;32,6
2/03/2024;32,2;49,4;2,7;12,7;15,4;0,41;1;34,1
3/03/2024;26,7;33,8;1,7;9,4;11,2;0,37;0,9;32,3
4/03/2024;25,1;34,5;4,2;15,8;20;0,53;1,4;19,8
5/03/2024;33,6;49,8;7,4;15,8;23,2;0,59;0,7;19,9
6/03/2024;31,6;43,4;11,1;16,7;27,8;0,64;0,7;17,6
7/03/2024;31,2;44,6;10,2;15,1;25,2;0,53;0,6;17,2
8/03/2024;24,1;31,6;5,9;9,9;15,8;0,47;0,8;22,2
