FECHA ;PM 2.5;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2024 1:00;0;17,1;1,8;6,3;8,1;0,28;0,6;5,2
1/01/2024 2:00;0;24,3;2;6,4;8,4;0,27;0,7;5,3
1/01/2024 3:00;0;19,5;4,7;7,5;12,2;0,32;0,5;1
1/01/2024 4:00;0;28,4;2,1;6,9;8,9;0,26;0,5;2,5
1/01/2024 5:00;0;26,5;3,7;8,8;12,5;0,39;0,6;1,5
1/01/2024 6:00;0;36,2;3;7,1;10,1;0,3;0,4;2,7
1/01/2024 7:00;0;25,9;7,4;6,4;13,8;0,38;0,4;1,4
1/01/2024 8:00;0;30,1;8,1;6,9;15;0,41;0,6;9,8
1/01/2024 9:00;0;32,1;6,7;9,1;15,8;0,4;0,9;21,6
1/01/2024 10:00;0;25,1;3,4;8,9;12,3;0,3;0,8;29,5
1/01/2024 11:00;0;27,5;1,1;3,1;4,2;0,13;0,6;25,5
1/01/2024 12:00;0;28,2;0,8;1,6;2,4;0,1;0,6;24,4
1/01/2024 13:00;0;26,5;0,6;1,1;1,6;0,1;0,6;25,5
1/01/2024 14:00;0;22,3;0,5;1,2;1,7;0,1;0,6;27
1/01/2024 15:00;0;21,5;0,6;2,5;3,1;0,16;0,9;41
1/01/2024 16:00;0;16,1;0,8;3,9;4,7;0,24;1,3;47,5
1/01/2024 17:00;0;22,4;0,7;3,9;4,7;0,21;1,2;36,6
1/01/2024 18:00;0;16,8;0,6;5,4;6;0,25;1,2;30,7
1/01/2024 19:00;0;28,3;0,4;8,4;8,9;0,29;1,1;22,2
1/01/2024 20:00;20,6;21,9;0,6;10;10,6;0,36;1,1;16,9
1/01/2024 21:00;0;22,7;1,2;12,5;13,7;0,36;1,1;7,3
1/01/2024 22:00;15,4;18,1;1,8;13,6;15,5;0,38;0,9;3,1
1/01/2024 23:00;26,4;26,4;2,5;14,2;16,7;0,38;0,8;1,5
2/01/2024 0:00;15,6;25,2;4,1;12,8;16,9;0,36;0,8;0,7
2/01/2024 1:00;11,5;30,1;12,2;12,8;25;0,5;0,9;0,6
2/01/2024 2:00;13;24,3;9,1;10,6;19,7;0,38;0,8;0,6
2/01/2024 3:00;27,3;27,3;5,3;10,1;15,4;0,31;0,7;0,4
2/01/2024 4:00;14,2;16,2;6,2;9,6;15,8;0,28;0,6;0,4
2/01/2024 5:00;10,9;19,6;8,8;7,6;16,4;0,26;0,5;0,6
