FECHA ;PM 2.5 ;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2024 1:00;22;36;13,2;13;26,2;0,65;0;0,2
1/01/2024 2:00;26;31;15,6;12;27,7;0,7;0;0,2
1/01/2024 3:00;25;37;27,4;12,7;40,1;0,81;0;0,2
1/01/2024 4:00;24;33;21,2;11,2;32,4;0,72;0;0,1
1/01/2024 5:00;29;43;18,1;9,9;28;0,63;0;0,7
1/01/2024 6:00;24;34;9,1;8,1;17,2;0,53;0;0,6
1/01/2024 7:00;27;42;15,3;9,2;24,5;0,55;0;1,2
1/01/2024 8:00;14;26;8;3,6;11,6;0,36;0;5,3
1/01/2024 9:00;14;20;4,3;0,4;4,7;0,28;0;11,1
1/01/2024 10:00;9;23;0;0;0;0,22;0;13,6
1/01/2024 11:00;9;11;0;0;0;0,21;0;12,7
1/01/2024 12:00;8;13;0;0;0;0,22;0;13,6
1/01/2024 13:00;6;13;0;0;0;0,21;0;16,3
1/01/2024 14:00;4;11;0;0;0;0,22;0;16,5
1/01/2024 15:00;4;9;0;0;0;0,22;0;17,5
1/01/2024 16:00;16;21;0;0;0;0,24;0;20,2
1/01/2024 17:00;16;26;0;0;0;0,27;0;22,7
1/01/2024 18:00;14;22;2,2;2,1;4,3;0,26;0;20,3
1/01/2024 19:00;18;22;2,1;0,9;3;0,28;0;15,7
1/01/2024 20:00;14;24;2,1;3,9;6;0,33;0;10,2
1/01/2024 21:00;16;26;2,1;4,6;6,7;0,31;0;9,1
1/01/2024 22:00;14;27;2,3;4,9;7,2;0,31;0;6,7
1/01/2024 23:00;17;27;15,7;16,5;32,2;0,58;0;2,4
2/01/2024 0:00;22;35;68,4;30,1;98,5;1,06;0;0,1
2/01/2024 1:00;13;30;22,6;17,4;40;0,58;0;0,6
2/01/2024 2:00;14;26;9,1;13,7;22,8;0,42;0;1
2/01/2024 3:00;13;24;4,4;10,9;15,3;0,36;0;0,6
2/01/2024 4:00;15;29;32,6;16,9;49,5;0,47;0;0,1
2/01/2024 5:00;15;21;46,7;19,8;66,5;0,52;0;0,1
2/01/2024 6:00;11;28;68,2;23;91,1;0,7;0;0,1
2/01/2024 7:00;26;41;152,9;41,8;194,8;1,48;0;0,1
2/01/2024 8:00;22;32;50,5;19,9;70,5;0,74;0;3,7
2/01/2024 9:00;15;25;4,2;0,8;5;0,24;0;11,7
2/01/2024 10:00;12;25;5,5;2,8;8,3;0,29;0;12,2
2/01/2024 11:00;10;23;4,2;0,9;5;0,25;0;17
2/01/2024 12:00;9;27;3,2;0,5;3,6;0,24;0;21,4
