FECHA;PM 2.5;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2024;0;28,3;0;0;0;0;0;0
2/01/2024;16,7;38,9;0;0;0;0;0;0
3/01/2024;16,2;38,5;0;0;0;0;0;0
4/01/2024;15,6;41,4;0;0;0;0;0;0
5/01/2024;15,9;40,8;0;0;0;0;0;0
6/01/2024;10,5;30,6;0;0;0;0;0;0
7/01/2024;7,8;20,4;0;0;0;0;0;0
8/01/2024;10,5;22,4;0;0;0;0;0;0
9/01/2024;15;38,9;0;0;0;0;0;0
10/01/2024;19;48;0;0;0;0;0;0
11/01/2024;15,8;37,2;0;0;0;0;0;0
12/01/2024;27,1;56,1;0;0;0;0;0;0
13/01/2024;27;51,3;0;0;0;0;0;0
14/01/2024;18,2;40,7;0;0;0;0;0;0
15/01/2024;0;23,7;0;0;0;0;0;0
16/01/2024;0;20,8;0;0;0;0;0;0
17/01/2024;0;22,2;0;0;0;0;0;0
18/01/2024;9,8;22,8;0;0;0;0;0;0
19/01/2024;12,1;31,8;0;0;0;0;0;0
20/01/2024;10,2;26,6;0;0;0;0;0;0
21/01/2024;9,9;18,9;0;0;0;0;0;0
22/01/2024;11,7;24,6;0;0;0;0;0;0
23/01/2024;14,5;29,2;0;0;0;0;0;0
24/01/2024;16,2;35,5;0;0;0;0;0;0
25/01/2024;32,4;70,2;0;0;0;0;0;0
26/01/2024;0;95,9;0;0;0;0;0;0
27/01/2024;41,7;82,2;0;0;0;0;0;0
28/01/2024;27,4;59;0;0;0;0;0;0
29/01/2024;17,7;39,6;0;0;0;0;0;0
30/01/2024;24,4;54,7;0;0;0;0;0;0
31/01/2024;23,5;59,1;0;0;0;0;0;0
1/02/2024;23,5;49,2;0;0;0;0;0;0
2/02/2024;21;50;0;0;0;0;0;0
3/02/2024;16,3;35,7;0;0;0;0;0;0
4/02/2024;11,7;21,6;0;0;0;0;0;0
5/02/2024;18,7;37,9;0;0;0;0;0;0
6/02/2024;17,4;42,1;0;0;0;0;0;0
7/02/2024;13,2;29,9;0;0;0;0;0;0
8/02/2024;23,3;58,4;0;0;0;0;0;0
9/02/2024;13,7;39,2;0;0;0;0;0;0
10/02/2024;10,2;25,8;0;0;0;0;0;0
11/02/2024;9,8;22;0;0;0;0;0;0
12/02/2024;23,4;54,9;0;0;0;0;0;0
13/02/2024;20;48,3;0;0;0;0;0;0
14/02/2024;14,8;40,9;0;0;0;0;0;0
15/02/2024;15,1;30,5;0;0;0;0;0;0
16/02/2024;12;24,7;0;0;0;0;0;0
17/02/2024;9,7;23,8;0;0;0;0;0;0
18/02/2024;16,7;36,1;0;0;0;0;0;0
19/02/2024;25;54,3;0;0;0;0;0;0
20/02/2024;25,2;54,9;0;0;0;0;0;0
21/02/2024;22,7;45,9;0;0;0;0;0;0
22/02/2024;17,1;38,8;0;0;0;0;0;0
23/02/2024;27,5;53,8;0;0;0;0;0;0
24/02/2024;26,9;50,8;0;0;0;0;0;0
25/02/2024;22,3;35,5;0;0;0;0;0;0
26/02/2024;34,6;63,4;0;0;0;0;0;0
27/02/2024;36;63,8;0;0;0;0;0;0
28/02/2024;32,3;51,8;0;0;0;0;0;0
29/02/2024;33;51,6;0;0;0;0;0;0
1/03/2024;32,4;61,2;0;0;0;0;0;0
2/03/2024;35,5;59,9;0;0;0;0;0;0
3/03/2024;28,2;40,1;0;0;0;0;0;0
4/03/2024;30,9;47,2;0;0;0;0;0;0
5/03/2024;35,9;55,2;0;0;0;0;0;0
6/03/2024;33,1;54,3;0;0;0;0;0;0
7/03/2024;32,2;56,1;0;0;0;0;0;0
8/03/2024;27,1;41,9;0;0;0;0;0;0
9/03/2024;18,6;30,3;0;0;0;0;0;0
10/03/2024;14;21,7;0;0;0;0;0;0
11/03/2024;20,2;30,4;0;0;0;0;0;0
12/03/2024;26,4;43,3;0;0;0;0;0;0
13/03/2024;25,4;38,9;0;0;0;0;0;0
14/03/2024;25,2;39,7;0;0;0;0;0;0
15/03/2024;22,9;35,6;0;0;0;0;0;0
16/03/2024;27,7;44,9;0;0;0;0;0;0
17/03/2024;22,6;35,4;0;0;0;0;0;0
18/03/2024;23,1;35,6;0;0;0;0;0;0
19/03/2024;20,3;34,5;0;0;0;0;0;0
20/03/2024;38,4;59,7;0;0;0;0;0;0
