FECHA;PM 2.5;PM 10;NO;NO2;NOX;CO;SO2;O3
1/01/2024;30,6;47,5;10,7;8,6;19,3;0,92;1,8;16,7
2/01/2024;22,5;42,9;11,9;12,4;24,3;0,89;2,1;16,6
3/01/2024;27,5;54,6;17,2;18,4;35,6;1,04;2,9;18,7
4/01/2024;27,2;56,9;16,4;20,6;37;1,03;2,6;20,5
5/01/2024;22;43,2;9,6;13,1;22,7;0,86;1,8;22,7
6/01/2024;14,2;26;8,7;10,1;18,8;0,75;1,7;15,7
7/01/2024;10,5;18;5,6;4,9;10,5;0,68;1,4;15,2
8/01/2024;13,5;26;6,8;6,2;13;0,77;2,5;0
9/01/2024;16,2;39,8;18,3;13;31,4;0,95;3,2;11
10/01/2024;18,3;44;18,1;11,9;30;0,68;1,5;13,6
11/01/2024;21,6;47,7;23,5;16,1;39,6;0,71;1,9;15
12/01/2024;24,1;46,3;17,9;15,3;33,3;0,76;2,2;14,4
13/01/2024;31,4;55,5;16,1;19,7;35,8;0,93;3;20,9
14/01/2024;22,3;39;7,5;9,6;17,1;0,57;1,7;17
15/01/2024;11,6;26;6,3;6,6;12,9;0,51;1,6;20,4
16/01/2024;10,2;25,5;6,8;7,2;14;0,47;1,7;17,7
17/01/2024;19,1;44,2;27,4;13,3;40,7;0,74;2,6;14,7
18/01/2024;11,2;24,8;7,7;7,1;14,8;0,54;2,2;16,6
19/01/2024;12,4;27,9;9,9;8,2;18,1;0,52;2,2;14,3
20/01/2024;11,5;25;6,8;7,1;13,9;0,55;1,8;14,4
21/01/2024;9,8;18,5;4,6;3,1;7,7;0,51;1,7;17,3
22/01/2024;11,4;22,3;8;6,6;14,6;0,55;2,3;18
23/01/2024;12,1;27;11,6;11,2;22,8;0,55;2,9;24,2
24/01/2024;18,5;0;23,5;18,2;41,7;0,76;3,1;20,8
25/01/2024;26,4;56,2;18,6;25;43,6;0,91;3,5;25,2
26/01/2024;26;56,8;9,1;13,7;22,8;0,78;2,8;22,1
27/01/2024;36,9;67;12,2;17,6;29,9;0,95;3,4;25,3
28/01/2024;28,3;50,4;6,9;10,1;16,9;0,82;3,2;24,3
29/01/2024;22,9;49,9;9,7;10;19,7;0,81;3,2;23,7
30/01/2024;23,3;50,1;13,3;11,4;24,8;0,86;3,5;20,7
31/01/2024;24,7;50;18,7;13;31,7;1,03;2,8;15,1
1/02/2024;26,9;54,1;18,5;11,7;30,3;0,84;2,4;17
2/02/2024;19,8;40,1;15,8;13,3;29,1;1,04;1,9;15,5
3/02/2024;27,5;46,9;19,9;18,3;38,2;1,22;2;15,2
4/02/2024;18,4;29,5;12,6;14,8;27,5;1,07;2,2;15,5
5/02/2024;19,1;38,1;25,2;15,8;41;1,24;3;13,5
6/02/2024;21,6;46,4;45,5;16,8;62,2;1,43;3,9;8,2
7/02/2024;13,6;32;14,7;11,5;26,2;0,94;1,5;0
8/02/2024;26,1;64,2;36,6;21,1;57,8;1,48;2,6;10,1
9/02/2024;14,5;27,9;18,2;10,8;29;0,94;2,7;11,1
10/02/2024;11,8;31,5;17,4;9,2;26,6;0,98;2,8;16
11/02/2024;11,3;26;13,5;7,2;20,7;0,82;2,5;16
12/02/2024;23,8;51,2;17,5;18,5;36;1,09;3;23,7
13/02/2024;20,9;45,9;9,7;11;20,7;0,84;2,6;24,2
14/02/2024;13,9;30,8;7,1;6,9;14;0,8;1,7;18,8
15/02/2024;14,2;31,5;6,5;6,2;12,7;0,83;1,7;19,4
16/02/2024;8;18,7;7,1;6,7;13,8;0,61;0;14,4
17/02/2024;7,4;17;6,1;4,9;11;0,45;0;13,2
18/02/2024;14,4;33;17,5;11;28,5;0,65;0;13
19/02/2024;24,9;53,5;16,9;19,5;36,5;0,77;0;21,6
20/02/2024;26,1;58,3;17;19,2;36,2;0,73;0;21,2
21/02/2024;29,9;65,9;24,4;20,4;44,8;0,74;0;15,7
22/02/2024;18,4;40,8;15,8;15;30,9;0,72;0;16,3
23/02/2024;26,3;56,9;15,2;17,7;32,9;0,75;0;19,8
24/02/2024;30,9;61,2;9,5;17,3;26,8;0,65;0;23,6
25/02/2024;26,8;45,4;9,6;14,3;23,9;0,55;0;23,9
26/02/2024;30,5;62,6;17,4;19,1;36,6;0,69;0;21,2
27/02/2024;33,8;62,3;13,7;19,7;33,4;0,74;0;22,7
28/02/2024;30,7;56,3;8,7;14,4;23,2;0,57;0;22,7
29/02/2024;31,2;55,2;7,1;12,9;20;0,57;0;25,1
1/03/2024;33,6;60,7;8,3;15,1;23,3;0,53;0;31,7
2/03/2024;41;63,9;9;16,5;25,5;0,65;0;32,8
3/03/2024;27,9;44,9;6,1;9,8;15,9;0,6;0;34
4/03/2024;30,1;48;11,7;16,6;28,3;0,74;0;19,5
5/03/2024;29,5;47,5;6,2;11,2;17,4;0,57;1,7;24,8
6/03/2024;30,3;49,2;9,6;11;20,6;0,59;2,2;30,4
7/03/2024;30,8;51,4;15,7;14;29,7;0,72;1,8;25,7
8/03/2024;28,5;49,5;15,2;14,4;29,7;0,8;1,8;21,1
9/03/2024;15,3;27,6;7,2;10,8;18;0,59;1,6;18,7
10/03/2024;16,9;27;6,6;6;12,6;0,52;1,5;19,6
11/03/2024;20,3;31,1;6,1;9,4;15,4;0,58;1,6;20,8
12/03/2024;25,5;40,3;9,3;9,6;18,9;0,64;1,9;20,3
13/03/2024;24;40,5;6;7,2;13,2;0,58;2,1;22,5
14/03/2024;22,8;36,3;8,2;10;18,2;0,65;2;18,9
15/03/2024;30,8;53,5;38,3;17,9;56,2;0,94;3,6;14,3
16/03/2024;24,8;41,5;7,2;8,5;15,7;0,59;2,4;20,6
17/03/2024;22,2;33;6,9;7,3;14,3;0,57;3;22,2
18/03/2024;23,9;37,7;5,8;6,9;12,7;0,57;2,8;26,7
19/03/2024;19,3;34,4;7,1;10,5;17,6;0,64;3;18,3
20/03/2024;33,8;59;27,8;24,8;52,5;1,06;2,2;16,6
21/03/2024;39,4;67,2;26,5;24;50,6;1,04;1,4;15,7
22/03/2024;58;109,6;54,6;28,7;83,3;1,53;2,5;20,1
23/03/2024;46,5;81;11,5;18,5;30;0,94;1,6;26,5
24/03/2024;36;58,5;11,7;14,6;26,3;0,82;1,5;24,7
25/03/2024;30,7;55,1;10,9;11,8;22,7;0,82;5,7;25,8
26/03/2024;25;52,1;17,3;14,3;31,7;0,81;2,1;20,8
27/03/2024;27,7;56,3;17,7;16,7;34,4;0,86;2,6;20,1
28/03/2024;33,8;55,2;12,5;12,7;25,2;0,81;2,5;25,5
29/03/2024;35;50;7;8,2;15,2;0,72;4,1;26,7
30/03/2024;30,8;42,6;5,7;7,6;13,2;0,73;2;29,5
31/03/2024;31;46,9;13,2;13,3;26,4;0,89;2,6;24,3
1/04/2024;38,8;62,3;27,9;30,3;58,3;1,36;1,7;16,1
2/04/2024;31,6;52,2;14;18,7;32,8;0,99;0,7;21,1
3/04/2024;29,5;50,5;23,9;20;43,9;1,1;2,7;13,8
4/04/2024;15,3;25,9;23,4;14,2;37,7;0,87;1,3;11,5
5/04/2024;11,9;24,2;13,3;9,7;23,1;0,63;1,3;15,5
6/04/2024;12,6;24,8;11,6;11,7;23,4;0,66;1,5;17,5
7/04/2024;15;30;5,9;6,5;12,4;0,52;1,5;25,6
8/04/2024;19,9;36,9;7,7;9,3;17;0,64;1,3;23
9/04/2024;29,1;51,2;8,8;12,3;21,1;0,66;1,9;22,8
10/04/2024;27,6;53,7;13;16,4;29,4;0,79;1,6;25,8
11/04/2024;33,4;57;9,6;13,7;23,3;0,73;2,1;33,2
12/04/2024;30,5;58,5;6,3;11,3;17,6;0,73;1,9;35,4
13/04/2024;37,1;62,2;9,8;17;26,8;0,92;2,7;35,8
14/04/2024;31,7;51,5;5,9;10,4;16,2;0,78;2,4;32,9
15/04/2024;36,7;67,5;10,8;14,9;25,6;0,83;2,6;29,9
16/04/2024;32,8;58,6;9,6;12,5;22,1;0,71;1,4;32,2
17/04/2024;32,5;57,4;14,4;17,1;31,5;0,94;1,5;26,4
18/04/2024;43;81,3;34,6;27,4;61,9;1,44;3,2;13
19/04/2024;17,2;34,1;21,6;19,1;40,7;1,01;1,6;12,4
20/04/2024;0;0;0;0;0;0;0;0
21/04/2024;0;0;0;0;0;0;0;0
22/04/2024;18,2;39,1;34;15,4;49,4;0;1,2;8,2
23/04/2024;28;58,3;30,2;19,2;49,3;0;2,3;14,1
24/04/2024;13,5;32;8,8;6,6;15,5;0;0,9;15,5
25/04/2024;12,5;29;8;7,4;15,4;0;1;18
26/04/2024;24,1;45,6;30,5;16,9;47,3;1,08;2,9;9,4
27/04/2024;18,4;38,2;24,4;15,3;39,7;1;2,5;6,6
28/04/2024;14,7;27,6;19,2;14;33,2;0,89;2,6;11,5
29/04/2024;24,1;50,6;33,2;18,6;51,8;1,25;3,5;7
30/04/2024;23,6;59,5;38,4;15,7;54,1;1;4;8,5
1/05/2024;9,2;19;7,4;4,8;12,1;0,48;0;14,6
2/05/2024;16,6;42;22,9;11;34;0,79;0;11,8
3/05/2024;17,3;46,3;28,2;12,1;40,3;0,96;0;8,9
4/05/2024;15,1;32,5;21,7;10,6;32,3;0,89;0;6,7
5/05/2024;4,8;10;12,4;5,3;17,7;0,59;0;8,7
6/05/2024;7,9;17,1;12,7;4,8;17,4;0,53;0;10,5
7/05/2024;9,4;26,5;14,4;7;21,4;0,59;0;9,3
8/05/2024;11,9;30,4;18,4;9,7;28,1;0,67;0;9,3
9/05/2024;15,5;0;29,9;13,9;43,8;0,93;0;6,3
10/05/2024;11,1;24,5;20,8;8,7;29,5;0,68;0;6,1
11/05/2024;14,5;39,3;22,6;9,3;31,9;0,76;0;9,3
12/05/2024;14,3;29;16,9;9,3;26,3;0,68;0;9,5
13/05/2024;6,1;11,7;7,2;3,1;10,3;0,46;0;15,1
14/05/2024;10,8;23,7;0;0;0;0;0;0
15/05/2024;14,8;37,9;19,7;10,6;30,3;0,96;0;8,7
16/05/2024;14,6;37,9;20,3;10,7;31;0,84;0;9,3
17/05/2024;12;36;18,8;8,9;27,7;0,75;0;9,3
18/05/2024;11,5;31,4;19,2;7,8;27;0,75;0;9,9
19/05/2024;4,6;10;8,9;5;13,8;0,6;0;13,4
20/05/2024;0;17,7;8,7;3,6;12,3;0,49;0;8,8
21/05/2024;6,2;20,3;0;0;0;0;0;0
22/05/2024;5,3;14,5;0;4,2;0;0,52;0;9
23/05/2024;16,5;43,9;31,8;10,4;42,2;0,94;0;7
24/05/2024;17,4;47,4;26,3;13,5;39,8;0,85;0;11
25/05/2024;15,2;37;29,7;12,5;42,2;0,89;0;5,2
26/05/2024;6,5;17,1;9,7;3,5;13,1;0,5;0;10,3
27/05/2024;5,7;15,3;0;0;0;0;0;0
